Stop_Order,Base,Map_Name,Location,Priority,Recommended_Time,Best_Time,How_To_Experience_CN,What_To_Look_For_CN,Story_Theme_CN,Autumn_Focus_CN,Practical_Tip_CN,Source_URL,Google_Maps_Search_URL
6,Gothenburg,Gothenburg Botanical Garden,"Gothenburg Botanical Garden, Sweden",Optional+,1.5–2小时,下午,以林区和岩石园为主，不必追温室每个角落。,成熟树林、山坡步道、植物层次。,这个点的价值不是“花园名气”，而是给北欧城市行程一个真正的季节自然段落。,秋色非常合适。,下雨后路滑。,https://www.botaniska.se/en/,https://www.google.com/maps/search/?api=1&query=Gothenburg%20Botanical%20Garden%2C%20Sweden
7,Oslo,Vigeland Sculpture Park,"Vigeland Sculpture Park, Oslo, Norway",Must,1.5–2小时,上午,按桥→喷泉→Monolith 顺序走，把它当一整套人生叙事。,人物关系、Monolith、轴线。,核心不是裸体雕像本身，而是出生、亲情、冲突、衰老、死亡的循环。,黄色树木会明显增强作品氛围。,免费户外。,https://www.visitoslo.com/en/,https://www.google.com/maps/search/?api=1&query=Vigeland%20Sculpture%20Park%2C%20Oslo%2C%20Norway
7,Oslo,MUNCH Museum,"MUNCH, Oslo, Norway",Must,2–3小时,下午,把《呐喊》放回 Munch 的疾病、爱情、焦虑和现代生活里看。,不同版本、肖像、自我表达、海边建筑。,理解他“为什么这样画”比只找到《呐喊》更有价值。,室内坏天气备用。,展品会轮换。,https://www.munch.no/en/,https://www.google.com/maps/search/?api=1&query=MUNCH%2C%20Oslo%2C%20Norway
7,Oslo,Royal Palace,"The Royal Palace, Oslo, Norway",Optional,1–1.5小时,下午,沿 Karl Johans gate 走到王宫，再进 Palace Park。,城市中轴和宫园。,这段路能看出19世纪 Oslo 如何建立“国家首都”的形象。,宫园秋色不错。,顺路即可。,https://www.visitoslo.com/en/,https://www.google.com/maps/search/?api=1&query=The%20Royal%20Palace%2C%20Oslo%2C%20Norway
7,Oslo,Aker Brygge,"Aker Brygge, Oslo, Norway",Optional,1小时,傍晚,沿水边慢走，看旧码头如何变成现代城市滨水区。,Oslofjord、码头、现代建筑。,它是典型的“工业港口重新变成生活城市”的城市更新故事。,秋天夕阳和水面更重要。,适合晚饭前。,https://www.visitoslo.com/en/,https://www.google.com/maps/search/?api=1&query=Aker%20Brygge%2C%20Oslo%2C%20Norway
8,Flåm,Flåmsbana Railway,"Flåm Railway, Flåm, Norway",Must,2–3小时,上午,看坡度变化、隧道、瀑布和山腰农场，不要只盯终点。,Kjosfossen、陡峭谷地铁路工程。,这是一条把海平面峡湾快速抬升到高原的工程故事。,山谷白桦秋色很强。,别把铁路和巡航塞得太紧。,https://www.norwaysbest.com/,https://www.google.com/maps/search/?api=1&query=Fl%C3%A5m%20Railway%2C%20Fl%C3%A5m%2C%20Norway
8,Flåm,Stegastein Viewpoint,"Stegastein Viewpoint, Aurland, Norway",Must,45–75分钟,傍晚,走到悬挑平台尽头，同时看 fjord 上下游。,平台悬空感、峡湾深度、山路。,Norwegian Scenic Routes 的理念就是用建筑重新组织你看自然的方式。,傍晚侧光最好。,山路天气差不要硬赶。,https://www.nasjonaleturistveger.no/en/routes/aurlandsfjellet/,https://www.google.com/maps/search/?api=1&query=Stegastein%20Viewpoint%2C%20Aurland%2C%20Norway
8,Flåm,Nærøyfjord Cruise,"Nærøyfjord, Norway",Must,2–3小时,白天,在最狭窄水域重点看悬崖与微小农场的尺度反差。,瀑布、垂直岩壁、小农场。,巨大的冰川地貌和几乎不可能生存的人类聚落同时出现，才是它的震撼。,侧谷秋色很美。,低云太重就用机动天。,https://whc.unesco.org/en/list/1195/,https://www.google.com/maps/search/?api=1&query=N%C3%A6r%C3%B8yfjord%2C%20Norway
8,Flåm,Borgund Stave Church,"Borgund Stave Church, Norway",Optional+,1–1.5小时,转场日,看层层屋顶、龙头细节、木榫结构。,深色木材、门廊、屋顶几何。,它把北欧传统木建筑语言与中世纪基督教教堂结合在一起。,森林秋色非常合适。,别临关门才赶到。,https://www.stavechurch.com/,https://www.google.com/maps/search/?api=1&query=Borgund%20Stave%20Church%2C%20Norway
9,Geiranger,Geirangerfjord,"Geirangerfjord, Norway",Must,半天,上午,一定既从水面看又从高处看，同一峡湾会变成完全不同的尺度。,Seven Sisters、陡壁、废弃农场。,冰川雕刻了地形，但更动人的人文故事是过去人们竟在悬崖高处耕作生活。,全程最重要秋色点之一。,为能见度留1-2天。,https://www.fjords.com/en/western-norwegian-fjords/geirangerfjord/,https://www.google.com/maps/search/?api=1&query=Geirangerfjord%2C%20Norway
9,Geiranger,Trollstigen Pass,"Trollstigen, Norway",Must if open,2–4小时,白天,慢开，官方观景台必须停；公路本身就是景点。,发卡弯、瀑布、高架观景台。,它把古老山路、现代公路工程和当代景观设计叠在一起。,白桦林秋色很强。,开放/封路风险高，出发当天查。,https://www.nasjonaleturistveger.no/en/routes/geiranger--trollstigen/,https://www.google.com/maps/search/?api=1&query=Trollstigen%2C%20Norway
9,Geiranger,Atlantic Ocean Road,"Atlantic Ocean Road, Norway",Optional,半天以上,白天,只有时间足够才去；把它当独立海岸驾驶主题，不要当 Geiranger 顺手小景点。,低海岛、桥梁、北大西洋风浪。,这里讲的是道路如何跨过暴露海岸，把散落岛屿串成连续交通线。,秋季风浪可能很有戏剧性。,与 Geiranger/Trollstigen 同天容易过量。,https://www.nasjonaleturistveger.no/en/routes/atlanterhavsvegen/,https://www.google.com/maps/search/?api=1&query=Atlantic%20Ocean%20Road%2C%20Norway
9,Geiranger,Dalsnibba Viewpoint,"Dalsnibba, Geiranger, Norway",Optional+,1.5–2小时,晴天中午,只有能见度好才上去；重点是一眼同时看到高原、雪线、峡湾和村庄。,高山全景、海拔差。,它让你真正理解 Geiranger 的垂直尺度。,下层彩林+上层初雪可能同时出现。,季节道路与天气依赖。,https://www.dalsnibba.no/en/,https://www.google.com/maps/search/?api=1&query=Dalsnibba%2C%20Geiranger%2C%20Norway
12,Stockholm,Gamla Stan,"Gamla Stan, Stockholm, Sweden",Must,2–3小时,清晨/晚上,在人潮前走 Stortorget 和小巷，再看水边。,窄巷、暖色立面、王宫边缘。,老城坐在控制波罗的海航路的战略岛屿核心。,暖色建筑和秋光很协调。,步行。,https://www.visitstockholm.com/,https://www.google.com/maps/search/?api=1&query=Gamla%20Stan%2C%20Stockholm%2C%20Sweden
12,Stockholm,Vasa Museum,"Vasa Museum, Stockholm, Sweden",Must,2–3小时,上午,先从多个楼层看整艘船，再看雕刻和“为什么会沉”。,保存极好的17世纪战舰、木雕。,Vasa 1628首航即沉，是王室野心、工程失误和现代保护科学的完整故事。,室内；馆外 Djurgården 有秋色。,至少留2小时。,https://www.vasamuseet.se/en,https://www.google.com/maps/search/?api=1&query=Vasa%20Museum%2C%20Stockholm%2C%20Sweden
12,Stockholm,Stockholm City Hall,"Stockholm City Hall, Sweden",Optional+,1–1.5小时,下午,有导览就看内部，再到水边花园。,红砖体量、Blue Hall、Golden Hall。,它用现代方式重新引用北欧和意大利建筑传统，是 Stockholm 的公民象征。,水边秋色不错。,内部常需导览。,https://stadshuset.stockholm/en/,https://www.google.com/maps/search/?api=1&query=Stockholm%20City%20Hall%2C%20Sweden
12,Stockholm,Drottningholm Palace,"Drottningholm Palace, Sweden",Optional,半天,白天,宫殿、园林、剧院区域一起看，不要只看房间。,长轴花园、湖边王宫。,展示欧洲宫廷文化如何被瑞典吸收、改造。,园林秋色比夏季更有层次。,半日游。,https://www.kungligaslotten.se/english/royal-palaces-and-sites/drottningholm-palace.html,https://www.google.com/maps/search/?api=1&query=Drottningholm%20Palace%2C%20Sweden
15,Odense,H.C. Andersen's House,"H.C. Andersen's House, Odense, Denmark",Must,2–3小时,上午,把沉浸式展览当“进入安徒生世界”，之后再走出生地/童年街区。,声音、建筑、花园、手稿和个人物件。,他的童话反复讲贫困、排斥、野心和转变；了解本人后故事会完全不同。,花园有轻度秋色。,去新馆，不是只看旧小屋。,https://hcandersenshus.dk/en/,https://www.google.com/maps/search/?api=1&query=H.C.%20Andersen%27s%20House%2C%20Odense%2C%20Denmark
15,Odense,H.C. Andersen Historic Old Town Walk,"H.C. Andersen Quarter, Odense, Denmark",Must,1–1.5小时,下午,从博物馆步行串出生地、童年街道和旧城小巷。,低矮老屋、鹅卵石街。,这能把“童话作家”重新放回他真实成长的城市环境里。,秋天慢走很舒服。,不用开车。,https://www.visitodense.com/,https://www.google.com/maps/search/?api=1&query=H.C.%20Andersen%20Quarter%2C%20Odense%2C%20Denmark
15,Odense,The Funen Village,"The Funen Village, Odense, Denmark",Optional,2–3小时,下午,如果开放，重点看传统农舍、田园和生活方式演示。,乡村建筑、农田。,安徒生时代丹麦的大多数人生活在这种农业社会，而不是宫殿里。,秋季农田氛围很合适。,先查季节开放。,https://denfynskelandsby.dk/en/,https://www.google.com/maps/search/?api=1&query=The%20Funen%20Village%2C%20Odense%2C%20Denmark
16,Schwerin,Schwerin Castle,"Schwerin Castle, Germany",Must,2–3小时,傍晚,先在湖边和花园绕一圈，再选内部。,岛上宫殿、倒影、圆顶。,看起来像童话，其实是19世纪王权用 historicism 制造的政治形象。,湖面+秋叶很强。,议会使用区可能影响参观。,https://www.schwerin.de/en/,https://www.google.com/maps/search/?api=1&query=Schwerin%20Castle%2C%20Germany
17,Berlin,Brandenburg Gate,"Brandenburg Gate, Berlin, Germany",Must,30–45分钟,清晨/晚上,从 Pariser Platz 走穿门，再接 Reichstag 和旧墙线。,门的比例、城市轴线。,同一座门经历普鲁士、纳粹、冷战分裂、德国统一，意义不断改变。,秋色次要。,和 Reichstag 同一条步行线。,https://www.visitberlin.de/en,https://www.google.com/maps/search/?api=1&query=Brandenburg%20Gate%2C%20Berlin%2C%20Germany
17,Berlin,Reichstag Building,"Reichstag Building, Berlin, Germany",Must,1.5–2小时,傍晚,能进玻璃穹顶就沿螺旋坡走上去，一边看议会一边看城市。,玻璃穹顶、城市全景。,统一后的德国刻意用“透明”作为民主政治的建筑语言。,日落更值得。,通常需提前登记。,https://www.bundestag.de/en/visittheBundestag,https://www.google.com/maps/search/?api=1&query=Reichstag%20Building%2C%20Berlin%2C%20Germany
17,Berlin,East Side Gallery,"East Side Gallery, Berlin, Germany",Must,1–1.5小时,上午,沿残存 Berlin Wall 线性走完一段，不要只找最有名壁画。,墙体、壁画、Spree 河。,墙倒后，压迫性的边界被变成公共政治表达表面。,河边树色可加分。,户外。,https://www.eastsidegalleryexhibition.com/,https://www.google.com/maps/search/?api=1&query=East%20Side%20Gallery%2C%20Berlin%2C%20Germany
17,Berlin,Checkpoint Charlie,"Checkpoint Charlie, Berlin, Germany",Optional,30–45分钟,白天,把路口当历史定位点，重点理解过去如何控制跨境。,街道边界和资料展。,价值不是现在的复制岗亭，而是冷战时城市移动如何被制度切断。,无秋色重点。,别花太多时间。,https://www.visitberlin.de/en/checkpoint-charlie,https://www.google.com/maps/search/?api=1&query=Checkpoint%20Charlie%2C%20Berlin%2C%20Germany
19,Warsaw,Old Town Market Square,"Warsaw Old Town Market Square, Poland",Must,1.5–2小时,上午,知道这里战后几乎重建后，再仔细看立面。,广场、城墙、屋顶。,Warsaw 的特殊性不是“古城幸存”，而是社会选择把被毁灭的古城重新建回来。,城墙树木有秋色。,接 Royal Castle。,https://warsawtour.pl/en/,https://www.google.com/maps/search/?api=1&query=Warsaw%20Old%20Town%20Market%20Square%2C%20Poland
19,Warsaw,Royal Castle,"Royal Castle, Warsaw, Poland",Must,2小时,上午,重点看重建国事厅和 Canaletto 城市画。,宫廷室内、Castle Square。,建筑本身就是战后文化重建证据。,雨天适合。,不用把每个房间都看完。,https://www.zamek-krolewski.pl/en,https://www.google.com/maps/search/?api=1&query=Royal%20Castle%2C%20Warsaw%2C%20Poland
19,Warsaw,Łazienki Park,"Łazienki Park, Warsaw, Poland",Must,1.5–2小时,傍晚,沿湖、树道和 Palace on the Isle 慢走。,倒影、古典小宫、Chopin 像。,它把王室景观转化成现代市民公园。,Warsaw 最值得追秋色的地方之一。,干燥天气更舒服。,https://www.lazienki-krolewskie.pl/en,https://www.google.com/maps/search/?api=1&query=%C5%81azienki%20Park%2C%20Warsaw%2C%20Poland
19,Warsaw,Palace of Culture and Science,"Palace of Culture and Science, Warsaw, Poland",Optional,45–90分钟,傍晚,先在街面看比例，再决定是否上观景层。,苏联式高层轮廓、城市天际线。,它是斯大林时代赠予/支配关系的复杂象征，Warsaw 人对它的态度也一直矛盾。,无秋色重点。,看历史意义比“高楼”本身更重要。,https://warsawtour.pl/en/,https://www.google.com/maps/search/?api=1&query=Palace%20of%20Culture%20and%20Science%2C%20Warsaw%2C%20Poland
20,Kraków,Main Market Square,"Rynek Główny, Kraków, Poland",Must,1–2小时,清晨/晚上,绕 Cloth Hall，听 St. Mary's 的 trumpet call，再钻入小巷。,广场尺度、塔楼、商贸空间。,它曾是中世纪王国商业中心，今天城市结构仍然清楚。,夕阳比树叶更重要。,住中心步行。,https://krakow.travel/en,https://www.google.com/maps/search/?api=1&query=Rynek%20G%C5%82%C3%B3wny%2C%20Krak%C3%B3w%2C%20Poland
20,Kraków,Wawel Royal Castle,"Wawel Royal Castle, Kraków, Poland",Must,2–3小时,上午,把 Cathedral、courtyard、河景当一个 hill complex 看。,Renaissance 庭院、教堂、Vistula。,Wawel 把波兰王权、宗教和国家记忆压缩在一座山上。,河边树色好。,挑重点票区。,https://wawel.krakow.pl/en,https://www.google.com/maps/search/?api=1&query=Wawel%20Royal%20Castle%2C%20Krak%C3%B3w%2C%20Poland
20,Kraków,Wieliczka Salt Mine,"Wieliczka Salt Mine, Poland",Must,3–4小时,半天,跟官方路线走，重点看矿工如何把生产空间变成 chapel 和艺术。,St. Kinga's Chapel、盐雕、地下大厅。,盐曾经是国家财富；矿工又在地下创造出自己的宗教与文化世界。,雨天最佳。,楼梯较多。,https://www.wieliczka-saltmine.com/,https://www.google.com/maps/search/?api=1&query=Wieliczka%20Salt%20Mine%2C%20Poland
20,Kraków,Auschwitz-Birkenau Memorial,"Auschwitz-Birkenau Memorial and Museum, Oświęcim, Poland",Optional but significant,半天,白天,如果去，就当纪念与证据现场，不安排“快速打卡”。,原营地、Birkenau 的巨大尺度。,这是大屠杀现场，不是普通景点；重点是理解工业化杀戮与个人生命证据。,季节不重要。,最好官方导览；当天后续安排保持安静。,https://www.auschwitz.org/en/,https://www.google.com/maps/search/?api=1&query=Auschwitz-Birkenau%20Memorial%20and%20Museum%2C%20O%C5%9Bwi%C4%99cim%2C%20Poland
22,Prague,Charles Bridge,"Charles Bridge, Prague, Czechia",Must,45–75分钟,日出,在人潮前过桥，来回看 Castle 和 Old Town 两个方向。,雕像剪影、Vltava、城堡天际线。,它不是孤立的桥，而是王城与商业老城的舞台连接。,晨雾和河岸黄叶很漂亮。,值得早起。,https://www.prague.eu/en/,https://www.google.com/maps/search/?api=1&query=Charles%20Bridge%2C%20Prague%2C%20Czechia
22,Prague,Prague Castle,"Prague Castle, Czechia",Must,3–4小时,上午,把它当城区：St. Vitus、庭院、旧宫、观景一起看。,Cathedral、庭院、城市俯瞰。,从波希米亚王权到现代捷克国家，建筑层次对应政治层次。,城堡花园/坡道秋色好。,半天。,https://www.hrad.cz/en,https://www.google.com/maps/search/?api=1&query=Prague%20Castle%2C%20Czechia
22,Prague,Astronomical Clock,"Prague Astronomical Clock, Czechia",Must,45–60分钟,清晨,先看钟面逻辑，再上塔看城市几何；不要只等整点小人。,天文盘、日历盘、Old Town 屋顶。,中世纪城市把天文学、时间和宗教象征做成公共机器。,屋顶颜色胜过树色。,上塔比排队等整点更值。,https://www.prague.eu/en/,https://www.google.com/maps/search/?api=1&query=Prague%20Astronomical%20Clock%2C%20Czechia
22,Prague,Vyšehrad,"Vyšehrad, Prague, Czechia",Optional+,1.5–2小时,傍晚,走城墙、公墓和河景。,堡垒、教堂、Vltava 河湾。,这里混合传说、国家记忆和真正的防御地理。,公园秋色很好。,比老城安静。,https://www.prague.eu/en/,https://www.google.com/maps/search/?api=1&query=Vy%C5%A1ehrad%2C%20Prague%2C%20Czechia
23,Český Krumlov,Castle Tower,"Český Krumlov Castle, Czechia",Must,2–3小时,上午,从城堡高处看完整河湾，再下城反复过桥。,彩绘塔、红屋顶、城堡桥。,贵族城堡高踞河湾，决定了整个小城的戏剧性空间。,红屋顶+黄叶是重点。,住一晚避开日游客。,https://www.ckrumlov.info/en/,https://www.google.com/maps/search/?api=1&query=%C4%8Cesk%C3%BD%20Krumlov%20Castle%2C%20Czechia
23,Český Krumlov,Vltava Horseshoe Bend,"Český Krumlov Old Town, Czechia",Must,1–2小时,黄昏,找能看到河流包住古城的高点，再走河边。,河湾、红屋顶、城堡。,水和地形把中世纪城市压成非常紧凑的舞台。,全程顶级秋景构图之一。,别只做 day trip。,https://www.ckrumlov.info/en/,https://www.google.com/maps/search/?api=1&query=%C4%8Cesk%C3%BD%20Krumlov%20Old%20Town%2C%20Czechia
23,Český Krumlov,Medieval Tavern Dining,"Český Krumlov, Czechia",Optional,1.5小时,晚上,把它当氛围晚餐，不当历史“复原真相”。,石墙、木梁、传统菜。,适合作为古城故事的夜间延续，但要区分旅游演绎和真实中世纪生活。,冷天更有感觉。,选评价稳定的小店。,https://www.ckrumlov.info/en/,https://www.google.com/maps/search/?api=1&query=%C4%8Cesk%C3%BD%20Krumlov%2C%20Czechia
24,Hallstatt,Hallstatt Postcard View,"Hallstatt, Austria",Must,1.5–2小时,日出,住一晚就是为了清晨从北侧看教堂、湖和山。,教堂尖塔、湖面倒影、Dachstein。,Hallstatt 真正的历史核心是盐，不只是“网红湖村”。,湖面倒影+秋山是核心。,中午人最多。,https://www.hallstatt.net/,https://www.google.com/maps/search/?api=1&query=Hallstatt%2C%20Austria
25,Salzburg,Hohensalzburg Fortress,"Hohensalzburg Fortress, Salzburg, Austria",Must,2–3小时,上午,内部只挑重点，把更多时间留给城景和山景。,老城、Salzach、Alps。,Salzburg 长期由 prince-archbishops 统治，这种“宗教领主国家”从 fortress 最容易看懂。,山坡秋色好。,坐 funicular 节省体力。,https://www.salzburg-burgen.at/en/hohensalzburg-castle/,https://www.google.com/maps/search/?api=1&query=Hohensalzburg%20Fortress%2C%20Salzburg%2C%20Austria
25,Salzburg,Mirabell Gardens,"Mirabell Gardens, Salzburg, Austria",Optional+,45–75分钟,上午,沿中轴看 fortress 对景，再走树道。,Baroque 对称、Pegasus Fountain。,这是典型 Baroque：花园不是自然，而是被设计来控制视线。,成熟树木可有秋色。,顺路即可。,https://www.salzburg.info/en/,https://www.google.com/maps/search/?api=1&query=Mirabell%20Gardens%2C%20Salzburg%2C%20Austria
26,Val Gardena,Tre Cime di Lavaredo,"Tre Cime di Lavaredo, Italy",Must if access/weather works,4–6小时,上午,走经典环线的一部分也行，重点是北壁视角和 WWI 遗迹。,三座岩塔、战壕痕迹、rifugi。,既是地质图标，也是一战高山边境历史现场。,初雪会强化效果。,高海拔道路可能因雪关闭。,https://www.drei-zinnen.info/en,https://www.google.com/maps/search/?api=1&query=Tre%20Cime%20di%20Lavaredo%2C%20Italy
26,Val Gardena,Seceda,"Seceda, South Tyrol, Italy",Must,3–5小时,晴天上午-下午,缆车上去后沿 ridge 轻走，不必做高强度徒步。,Odle 锯齿峰、草坡、悬崖线。,Dolomites 的古海洋沉积岩被抬升侵蚀成现在的塔状石峰；Seceda 最直观。,低坡金色落叶松+长阴影。,缆车季节极关键。,https://www.valgardena.it/en/,https://www.google.com/maps/search/?api=1&query=Seceda%2C%20South%20Tyrol%2C%20Italy
26,Val Gardena,Lago di Braies,"Lago di Braies, South Tyrol, Italy",Must,2–3小时,清晨,至少绕湖一大段，不要只在木船码头拍一张。,湖水、Croda del Becco、落叶松倒影。,真正精彩的是不同角度让湖盆和岩壁不断重组。,金色落叶松倒影是重点。,早到；注意季节停车规则。,https://www.prags.bz/en,https://www.google.com/maps/search/?api=1&query=Lago%20di%20Braies%2C%20South%20Tyrol%2C%20Italy
26,Val Gardena,Passo Gardena Drive,"Gardena Pass, South Tyrol, Italy",Must,2–3小时含停车,傍晚,慢开，看到落叶松林打开露出 Sella/Cir 就停。,发卡弯、Sella massif、金松。,Ladin 山谷之间如何靠山口道路连接，在这里一眼就懂。,全程 signature 秋景驾驶段。,留意初雪/结冰。,https://www.valgardena.it/en/,https://www.google.com/maps/search/?api=1&query=Gardena%20Pass%2C%20South%20Tyrol%2C%20Italy
27,Engadin,Engadin Golden Larch Lakes,"Lake St. Moritz, Switzerland",Must,2–3小时,清晨/傍晚,沿湖链开/走，找金松贴着蓝水的角度。,金松倒影、高原大谷、雪山。,Engadin 的开阔高原和特殊清光长期吸引艺术家与早期 alpine tourism。,欧洲最经典金松区之一。,临近出发看瑞士 foliage map。,https://www.engadin.ch/en/,https://www.google.com/maps/search/?api=1&query=Lake%20St.%20Moritz%2C%20Switzerland
