Order,Map_Name,Location,Country,Recommended_Nights,Route_Theme,Approx_Miles_From_Previous,Drive_Class,Autumn_Priority,Flex_Nights,Autumn_Target_Window,Why_This_Stop,Google_Directions_URL
21,Olomouc,"Olomouc, Czechia",Czechia,1,摩拉维亚过渡,165,Normal,★★★★,0,10月初,小而完整的巴洛克古城。,https://www.google.com/maps/dir/?api=1&origin=Krak%C3%B3w%2C%20Poland&destination=Olomouc%2C%20Czechia&travelmode=driving
22,Prague,"Prague, Czechia",Czechia,3,波希米亚首都,175,Normal,★★★★,1,10月上中旬,城堡-河流-老城整体构图。,https://www.google.com/maps/dir/?api=1&origin=Olomouc%2C%20Czechia&destination=Prague%2C%20Czechia&travelmode=driving
23,Český Krumlov,"Český Krumlov, Czechia",Czechia,2,河湾古城,110,Easy,★★★★★,1,10月中旬,红屋顶、河湾、城堡和秋林。,https://www.google.com/maps/dir/?api=1&origin=Prague%2C%20Czechia&destination=%C4%8Cesk%C3%BD%20Krumlov%2C%20Czechia&travelmode=driving
24,Hallstatt,"Hallstatt, Austria",Austria,1,阿尔卑斯湖区,130,Easy,★★★★★,1,10月中旬,住一晚为清晨倒影服务。,https://www.google.com/maps/dir/?api=1&origin=%C4%8Cesk%C3%BD%20Krumlov%2C%20Czechia&destination=Hallstatt%2C%20Austria&travelmode=driving
25,Salzburg,"Salzburg, Austria",Austria,2,巴洛克阿尔卑斯,50,Easy,★★★★,0,10月中旬,城堡、莫扎特时代、山城。,https://www.google.com/maps/dir/?api=1&origin=Hallstatt%2C%20Austria&destination=Salzburg%2C%20Austria&travelmode=driving
26,Val Gardena / Ortisei,"Ortisei, South Tyrol, Italy",Italy,4,Dolomites 金色落叶松核心,190,Scenic,★★★★★,3,10月中旬,Seceda、Gardena Pass、金色落叶松；全程最高机动优先之一。,https://www.google.com/maps/dir/?api=1&origin=Salzburg%2C%20Austria&destination=Ortisei%2C%20South%20Tyrol%2C%20Italy&travelmode=driving
27,St. Moritz / Engadin,"St. Moritz, Switzerland",Switzerland,2,瑞士金松走廊,180,Scenic,★★★★★,2,10月中下旬,湖泊+金色落叶松+雪山。,https://www.google.com/maps/dir/?api=1&origin=Ortisei%2C%20South%20Tyrol%2C%20Italy&destination=St.%20Moritz%2C%20Switzerland&travelmode=driving
28,Grindelwald / Interlaken,"Grindelwald, Switzerland",Switzerland,3,Bernese Alps,185,Scenic,★★★★★,2,10月中下旬,Jungfrau 景观，按能见度调天。,https://www.google.com/maps/dir/?api=1&origin=St.%20Moritz%2C%20Switzerland&destination=Grindelwald%2C%20Switzerland&travelmode=driving
29,Chamonix,"Chamonix-Mont-Blanc, France",France,2,Mont Blanc,120,Easy,★★★★,1,10月下旬,高山缆车和冰川故事。,https://www.google.com/maps/dir/?api=1&origin=Grindelwald%2C%20Switzerland&destination=Chamonix-Mont-Blanc%2C%20France&travelmode=driving
30,Annecy,"Annecy, France",France,1,阿尔卑斯湖过渡,65,Easy,★★★★,0,10月下旬,运河、湖、秋色，真正休息日。,https://www.google.com/maps/dir/?api=1&origin=Chamonix-Mont-Blanc%2C%20France&destination=Annecy%2C%20France&travelmode=driving
31,Avignon,"Avignon, France",France,1,中世纪 Provence,180,Normal,★★★,0,10月下旬,教皇城与 Rhône。,https://www.google.com/maps/dir/?api=1&origin=Annecy%2C%20France&destination=Avignon%2C%20France&travelmode=driving
32,Collioure,"Collioure, France",France,1,地中海色彩,155,Normal,★★★★,0,10月下旬,海、堡垒、野兽派画家的光线。,https://www.google.com/maps/dir/?api=1&origin=Avignon%2C%20France&destination=Collioure%2C%20France&travelmode=driving
33,Barcelona,"Barcelona, Spain",Spain,3,加泰罗尼亚现代主义,125,Easy,★★★,0,10月底-11月初,把 Gaudí 当成一个完整设计故事看。,https://www.google.com/maps/dir/?api=1&origin=Collioure%2C%20France&destination=Barcelona%2C%20Spain&travelmode=driving
34,Zaragoza,"Zaragoza, Spain",Spain,1,Ebro 过渡,195,Normal,★★★,0,11月初,拆开 Barcelona-Madrid。,https://www.google.com/maps/dir/?api=1&origin=Barcelona%2C%20Spain&destination=Zaragoza%2C%20Spain&travelmode=driving
35,Madrid,"Madrid, Spain",Spain,3,帝国西班牙与艺术,200,Normal,★★★,0,11月初,Prado + 王宫；也是休息块。,https://www.google.com/maps/dir/?api=1&origin=Zaragoza%2C%20Spain&destination=Madrid%2C%20Spain&travelmode=driving
36,Salamanca,"Salamanca, Spain",Spain,1,金色砂岩大学城,135,Easy,★★★★,0,11月初,夕阳时整座城发金色。,https://www.google.com/maps/dir/?api=1&origin=Madrid%2C%20Spain&destination=Salamanca%2C%20Spain&travelmode=driving
37,Porto,"Porto, Portugal",Portugal,2,大西洋葡萄牙,215,Full but acceptable,★★★★,0,11月初,Ribeira、桥、瓷砖、Douro。,https://www.google.com/maps/dir/?api=1&origin=Salamanca%2C%20Spain&destination=Porto%2C%20Portugal&travelmode=driving
38,Lisbon / Sintra,"Lisbon, Portugal",Portugal,4,大航海 + 浪漫主义 Sintra,195,Normal,★★★★,1,11月上中旬,Lisbon 2天 + Sintra 1天 + 1机动/休息。,https://www.google.com/maps/dir/?api=1&origin=Porto%2C%20Portugal&destination=Lisbon%2C%20Portugal&travelmode=driving
39,Évora,"Évora, Portugal",Portugal,1,Alentejo,85,Easy,★★★★,0,11月中旬,罗马-中世纪层次和软木橡树乡野。,https://www.google.com/maps/dir/?api=1&origin=Lisbon%2C%20Portugal&destination=%C3%89vora%2C%20Portugal&travelmode=driving
40,Seville,"Seville, Spain",Spain,2,安达卢西亚宫廷文化,195,Normal,★★★,0,11月中旬,Alcázar、广场、Flamenco。,https://www.google.com/maps/dir/?api=1&origin=%C3%89vora%2C%20Portugal&destination=Seville%2C%20Spain&travelmode=driving
41,Granada,"Granada, Spain",Spain,2,Nasrid Granada,155,Normal,★★★★,0,11月中旬,Alhambra 的水、几何、权力故事。,https://www.google.com/maps/dir/?api=1&origin=Seville%2C%20Spain&destination=Granada%2C%20Spain&travelmode=driving
42,Alicante,"Alicante, Spain",Spain,1,地中海休整,215,Full but acceptable,★★★,0,11月中旬,主要作用是把 Seville-Barcelona 拆舒服。,https://www.google.com/maps/dir/?api=1&origin=Granada%2C%20Spain&destination=Alicante%2C%20Spain&travelmode=driving
43,Valencia,"Valencia, Spain",Spain,1,地中海过渡,105,Easy,★★★,0,11月中旬,老城+现代建筑。,https://www.google.com/maps/dir/?api=1&origin=Alicante%2C%20Spain&destination=Valencia%2C%20Spain&travelmode=driving
44,Barcelona Ferry Port,"Port of Barcelona, Spain",Spain,1,汽车夜渡轮,220,Full but acceptable,★★,0,11月中旬,开到港口，船舱夜替代酒店。,https://www.google.com/maps/dir/?api=1&origin=Valencia%2C%20Spain&destination=Port%20of%20Barcelona%2C%20Spain&travelmode=driving
45,Rome / Vatican City,"Rome, Italy",Italy,4,帝国→教会→现代城市,50 from Civitavecchia,Easy,★★★,0,11月中下旬,古罗马和 Vatican 连成一个权力史。,https://www.google.com/maps/dir/?api=1&origin=Port%20of%20Barcelona%2C%20Spain&destination=Rome%2C%20Italy&travelmode=driving
46,Florence / Tuscany,"Florence, Italy",Italy,3,Renaissance + Tuscany,170,Normal,★★★★,0,11月下旬,艺术城+1天 Chianti 乡野。,https://www.google.com/maps/dir/?api=1&origin=Rome%2C%20Italy&destination=Florence%2C%20Italy&travelmode=driving
47,Venice,"Venice, Italy",Italy,2,海上共和国,160,Normal,★★★,0,11月下旬,把 Venice 看成建立在水上的贸易机器。,https://www.google.com/maps/dir/?api=1&origin=Florence%2C%20Italy&destination=Venice%2C%20Italy&travelmode=driving
48,Ljubljana,"Ljubljana, Slovenia",Slovenia,1,中欧转巴尔干,150,Normal,★★★,0,11月下旬,小尺度古城，恢复体力。,https://www.google.com/maps/dir/?api=1&origin=Venice%2C%20Italy&destination=Ljubljana%2C%20Slovenia&travelmode=driving
49,Plitvice Lakes,"Plitvice Lakes National Park, Croatia",Croatia,1,喀斯特水景,155,Normal,★★★★,0,11月下旬,栈道、钙华湖泊；注意晚季开放。,https://www.google.com/maps/dir/?api=1&origin=Ljubljana%2C%20Slovenia&destination=Plitvice%20Lakes%20National%20Park%2C%20Croatia&travelmode=driving
50,Split,"Split, Croatia",Croatia,1,仍有人生活的罗马宫殿,150,Normal,★★★,0,11月下旬,Diocletian Palace 不是遗址公园，而是城市。,https://www.google.com/maps/dir/?api=1&origin=Plitvice%20Lakes%20National%20Park%2C%20Croatia&destination=Split%2C%20Croatia&travelmode=driving
51,Dubrovnik,"Dubrovnik, Croatia",Croatia,2,Adriatic 城邦,145,Normal,★★★,0,11月下旬,城墙、海上共和国、战争记忆。,https://www.google.com/maps/dir/?api=1&origin=Split%2C%20Croatia&destination=Dubrovnik%2C%20Croatia&travelmode=driving
52,Kotor,"Kotor, Montenegro",Montenegro,1,Bay of Kotor,60,Easy,★★★★,0,11月下旬,黑山压着海湾的城墙古城。,https://www.google.com/maps/dir/?api=1&origin=Dubrovnik%2C%20Croatia&destination=Kotor%2C%20Montenegro&travelmode=driving
53,Shkodër,"Shkodër, Albania",Albania,1,阿尔巴尼亚北部,70,Easy,★★★,0,11月下旬,Rozafa 传说和湖区入口。,https://www.google.com/maps/dir/?api=1&origin=Kotor%2C%20Montenegro&destination=Shkod%C3%ABr%2C%20Albania&travelmode=driving
54,Gjirokastër,"Gjirokastër, Albania",Albania,1,石头城,145,Normal,★★★,0,11月底-12月初,奥斯曼石屋和山堡。,https://www.google.com/maps/dir/?api=1&origin=Shkod%C3%ABr%2C%20Albania&destination=Gjirokast%C3%ABr%2C%20Albania&travelmode=driving
55,Ioannina,"Ioannina, Greece",Greece,1,Epirus 湖城,55,Easy,★★★,0,12月初,拜占庭、奥斯曼、希腊、犹太层次。,https://www.google.com/maps/dir/?api=1&origin=Gjirokast%C3%ABr%2C%20Albania&destination=Ioannina%2C%20Greece&travelmode=driving
56,Patras,"Patras, Greece",Greece,1,Peloponnese 入口,135,Normal,★★,0,12月初,休息/物流点。,https://www.google.com/maps/dir/?api=1&origin=Ioannina%2C%20Greece&destination=Patras%2C%20Greece&travelmode=driving
57,Athens,"Athens, Greece",Greece,3,古典雅典,135,Normal,★★★,0,12月初,Acropolis + Museum 作为完整故事。,https://www.google.com/maps/dir/?api=1&origin=Patras%2C%20Greece&destination=Athens%2C%20Greece&travelmode=driving
58,Delphi,"Delphi, Greece",Greece,1,神谕山谷,115,Easy,★★★★,0,12月初,景观本身就是宗教权威的一部分。,https://www.google.com/maps/dir/?api=1&origin=Athens%2C%20Greece&destination=Delphi%2C%20Greece&travelmode=driving
59,Meteora,"Meteora, Greece",Greece,2,天地之间的修道院,145,Normal,★★★★,1,12月初,修道院内部+日落岩柱。,https://www.google.com/maps/dir/?api=1&origin=Delphi%2C%20Greece&destination=Meteora%2C%20Greece&travelmode=driving
60,Skopje,"Skopje, North Macedonia",North Macedonia,1,巴尔干十字路口,195,Normal,★★,0,12月初,奥斯曼旧市集与现代城市反差。,https://www.google.com/maps/dir/?api=1&origin=Meteora%2C%20Greece&destination=Skopje%2C%20North%20Macedonia&travelmode=driving
61,Niš,"Niš, Serbia",Serbia,1,塞尔维亚过渡,130,Easy,★★,0,12月初,保护驾驶节奏。,https://www.google.com/maps/dir/?api=1&origin=Skopje%2C%20North%20Macedonia&destination=Ni%C5%A1%2C%20Serbia&travelmode=driving
62,Belgrade,"Belgrade, Serbia",Serbia,2,Danube-Sava 十字路口,150,Normal,★★,0,12月初,为什么帝国反复争夺这里。,https://www.google.com/maps/dir/?api=1&origin=Ni%C5%A1%2C%20Serbia&destination=Belgrade%2C%20Serbia&travelmode=driving
63,Novi Sad,"Novi Sad, Serbia",Serbia,1,Danube 慢停,60,Easy,★★★,0,12月上中旬,Petrovaradin + 老城。,https://www.google.com/maps/dir/?api=1&origin=Belgrade%2C%20Serbia&destination=Novi%20Sad%2C%20Serbia&travelmode=driving
64,Budapest,"Budapest, Hungary",Hungary,3,Danube 帝国终章,190,Normal,★★★,0,12月中旬,Parliament、Buda、温泉文化。,https://www.google.com/maps/dir/?api=1&origin=Novi%20Sad%2C%20Serbia&destination=Budapest%2C%20Hungary&travelmode=driving
65,Vienna,"Vienna, Austria",Austria,2,Habsburg 回程桥梁,150,Normal,★★★,0,12月中旬,帝国城市，季节市集可选。,https://www.google.com/maps/dir/?api=1&origin=Budapest%2C%20Hungary&destination=Vienna%2C%20Austria&travelmode=driving
66,Linz,"Linz, Austria",Austria,1,Danube 过渡,115,Easy,★★,0,12月中旬,短驾驶恢复日。,https://www.google.com/maps/dir/?api=1&origin=Vienna%2C%20Austria&destination=Linz%2C%20Austria&travelmode=driving
67,Regensburg,"Regensburg, Germany",Germany,1,中世纪 Danube,155,Normal,★★★,0,12月中旬,石桥与完整古城。,https://www.google.com/maps/dir/?api=1&origin=Linz%2C%20Austria&destination=Regensburg%2C%20Germany&travelmode=driving
68,Würzburg,"Würzburg, Germany",Germany,1,Franconia 葡萄酒区,135,Easy,★★★,0,12月中旬,Residence + 葡萄园。,https://www.google.com/maps/dir/?api=1&origin=Regensburg%2C%20Germany&destination=W%C3%BCrzburg%2C%20Germany&travelmode=driving
69,Bacharach / Middle Rhine,"Bacharach, Germany",Germany,1,Rhine 城堡与葡萄园,120,Easy,★★★★,0,12月中旬,让回程最后一段仍然有故事。,https://www.google.com/maps/dir/?api=1&origin=W%C3%BCrzburg%2C%20Germany&destination=Bacharach%2C%20Germany&travelmode=driving
70,Cologne,"Cologne, Germany",Germany,1,Rhine 大教堂,120,Easy,★★,0,12月中旬,以 Gothic 建筑收尾。,https://www.google.com/maps/dir/?api=1&origin=Bacharach%2C%20Germany&destination=Cologne%2C%20Germany&travelmode=driving
71,Amsterdam / Schiphol Return,"Amsterdam Airport Schiphol, Netherlands",Netherlands,1,环线完成,165,Normal,★★,0,12月中旬,避免 Budapest 一口气回 Amsterdam。,https://www.google.com/maps/dir/?api=1&origin=Cologne%2C%20Germany&destination=Amsterdam%20Airport%20Schiphol%2C%20Netherlands&travelmode=driving
